Cost Center;Bruttó;Nettó;Áfa
420000000; 1517.95; 1445.67; 72.28
113000000; 195.87; 186.54; 9.33
150000000; 1517.95; 1445.67; 72.28
311000000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
420000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480750000; 1517.95; 1445.67; 72.28
150000000; 22293.42; 21231.83; 1061.59
150000000; 1517.95; 1445.67; 72.28
150000000; 1517.95; 1445.67; 72.28
150000000; 1517.95; 1445.67; 72.28
230000000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
110300000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480050000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
150000000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480050000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
330000000; 1517.95; 1445.67; 72.28
110300000; 1401.37; 1334.64; 66.73
110400000; 1401.37; 1334.64; 66.73
150000000; 1517.95; 1445.67; 72.28
140100000; 1517.95; 1445.67; 72.28
311000000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
440000000; 1517.95; 1445.67; 72.28
480400000; 1517.95; 1445.67; 72.28
110100000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
330000000; 1517.95; 1445.67; 72.28
110100000; 1517.95; 1445.67; 72.28
510100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
480100000; 1517.95; 1445.67; 72.28
330000000; 1517.95; 1445.67; 72.28
110100000; 1401.37; 1334.64; 66.73
510100000; 1517.95; 1445.67; 72.28
311000000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110300000; 1401.37; 1334.64; 66.73
110100000; 1401.37; 1334.64; 66.73
